year,migback,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,At least once per week,0.00931,90,7860,0.00718,0.01143
1985,No migration background,At least once per month,0.01754,175,7860,0.01464,0.02044
1985,No migration background,Seldom,0.04490,446,7860,0.04032,0.04948
1985,No migration background,Never,0.76971,7149,7860,0.76040,0.77901
1985,Direct migration background,Seldom,0.02868,64,2834,0.02253,0.03483
1985,Direct migration background,Never,0.85554,2770,2834,0.84259,0.86849
1985,Indirect migration background,Never,0.13216,132,132,0.07416,0.19015
1986,No migration background,At least once per week,0.00830,76,7503,0.00624,0.01035
1986,No migration background,At least once per month,0.01651,151,7503,0.01363,0.01939
1986,No migration background,Seldom,0.04596,426,7503,0.04122,0.05070
1986,No migration background,Never,0.77109,6850,7503,0.76158,0.78059
1986,Direct migration background,Seldom,0.02599,68,2765,0.02006,0.03193
1986,Direct migration background,Never,0.86690,2697,2765,0.85423,0.87956
1986,Indirect migration background,Never,0.13504,143,143,0.07883,0.19125
1988,No migration background,At least once per week,0.00643,56,7002,0.00456,0.00830
1988,No migration background,At least once per month,0.01301,109,7002,0.01036,0.01567
1988,No migration background,Seldom,0.05007,437,7002,0.04496,0.05518
1988,No migration background,Never,0.77125,6400,7002,0.76141,0.78109
1988,Direct migration background,Seldom,0.03490,65,2621,0.02787,0.04192
1988,Direct migration background,Never,0.87800,2556,2621,0.86547,0.89053
1988,Indirect migration background,Never,0.15193,206,206,0.10279,0.20106
1990,No migration background,At least once per week,0.01209,175,10767,0.01002,0.01415
1990,No migration background,At least once per month,0.02698,396,10767,0.02392,0.03005
1990,No migration background,Seldom,0.10799,1383,10767,0.10212,0.11385
1990,No migration background,Never,0.68022,8813,10767,0.67141,0.68903
1990,Direct migration background,At least once per month,0.01822,39,2627,0.01310,0.02333
1990,Direct migration background,Seldom,0.07170,149,2627,0.06183,0.08156
1990,Direct migration background,Never,0.84708,2439,2627,0.83331,0.86085
1990,Indirect migration background,Never,0.17370,270,270,0.12842,0.21897
1992,No migration background,At least once per week,0.00724,103,10203,0.00559,0.00888
1992,No migration background,At least once per month,0.01765,218,10203,0.01510,0.02021
1992,No migration background,Seldom,0.04901,617,10203,0.04483,0.05320
1992,No migration background,Never,0.74434,9265,10203,0.73588,0.75281
1992,Direct migration background,Seldom,0.04395,94,2481,0.03588,0.05202
1992,Direct migration background,Never,0.89958,2387,2481,0.88775,0.91141
1992,Indirect migration background,Never,0.22857,373,373,0.18590,0.27124
1994,No migration background,At least once per week,0.00706,94,9902,0.00541,0.00871
1994,No migration background,At least once per month,0.01370,188,9902,0.01141,0.01599
1994,No migration background,Seldom,0.05602,653,9902,0.05149,0.06055
1994,No migration background,Never,0.74012,8967,9902,0.73148,0.74876
1994,Direct migration background,Seldom,0.04555,106,2301,0.03703,0.05407
1994,Direct migration background,Never,0.91428,2195,2301,0.90284,0.92572
1994,Indirect migration background,Never,0.29588,457,457,0.25398,0.33777
1995,No migration background,At least once per week,0.00946,126,9923,0.00755,0.01136
1995,No migration background,At least once per month,0.01753,209,9923,0.01495,0.02011
1995,No migration background,Seldom,0.07554,876,9923,0.07034,0.08074
1995,No migration background,Never,0.72015,8712,9923,0.71132,0.72899
1995,Direct migration background,Seldom,0.04216,120,2714,0.03460,0.04972
1995,Direct migration background,Never,0.86236,2594,2714,0.84940,0.87533
1995,Indirect migration background,Never,0.28699,472,472,0.24614,0.32785
1996,No migration background,At least once per week,0.00674,92,9846,0.00513,0.00836
1996,No migration background,At least once per month,0.01393,172,9846,0.01161,0.01624
1996,No migration background,Seldom,0.07540,841,9846,0.07019,0.08062
1996,No migration background,Never,0.72993,8741,9846,0.72116,0.73870
1996,Direct migration background,Seldom,0.05661,117,2564,0.04766,0.06556
1996,Direct migration background,Never,0.86660,2447,2564,0.85343,0.87976
1996,Indirect migration background,Seldom,0.02346,32,536,0.01064,0.03629
1996,Indirect migration background,Never,0.29656,504,536,0.25786,0.33526
1997,No migration background,At least once per week,0.00735,81,9689,0.00565,0.00905
1997,No migration background,At least once per month,0.01509,186,9689,0.01266,0.01752
1997,No migration background,Seldom,0.06064,673,9689,0.05589,0.06539
1997,No migration background,Never,0.73780,8749,9689,0.72904,0.74656
1997,Direct migration background,Seldom,0.04719,95,2418,0.03874,0.05565
1997,Direct migration background,Never,0.87615,2323,2418,0.86301,0.88928
1997,Indirect migration background,Never,0.33436,535,535,0.29434,0.37437
1998,No migration background,At least once per week,0.00741,101,11164,0.00582,0.00900
1998,No migration background,At least once per month,0.01440,209,11164,0.01219,0.01661
1998,No migration background,Seldom,0.08768,1114,11164,0.08243,0.09293
1998,No migration background,Never,0.72108,9740,11164,0.71276,0.72940
1998,Direct migration background,At least once per month,0.01327,31,2379,0.00867,0.01787
1998,Direct migration background,Seldom,0.07114,162,2379,0.06081,0.08148
1998,Direct migration background,Never,0.85232,2186,2379,0.83806,0.86658
1998,Indirect migration background,Seldom,0.03535,46,586,0.02039,0.05032
1998,Indirect migration background,Never,0.34245,540,586,0.30400,0.38091
1999,No migration background,At least once per week,0.00820,109,10769,0.00650,0.00990
1999,No migration background,At least once per month,0.01460,202,10769,0.01234,0.01687
1999,No migration background,Seldom,0.06439,846,10769,0.05975,0.06902
1999,No migration background,Never,0.74368,9612,10769,0.73544,0.75193
1999,Direct migration background,Seldom,0.04724,95,2162,0.03830,0.05619
1999,Direct migration background,Never,0.88071,2067,2162,0.86704,0.89437
1999,Indirect migration background,Seldom,0.01937,33,592,0.00826,0.03048
1999,Indirect migration background,Never,0.36406,559,592,0.32526,0.40285
2001,No migration background,At least once per week,0.00815,177,17992,0.00683,0.00946
2001,No migration background,At least once per month,0.01607,350,17992,0.01423,0.01791
2001,No migration background,Seldom,0.05804,1275,17992,0.05462,0.06146
2001,No migration background,Never,0.75204,16190,17992,0.74573,0.75835
2001,Direct migration background,Seldom,0.02802,86,2846,0.02195,0.03408
2001,Direct migration background,Never,0.88281,2760,2846,0.87099,0.89463
2001,Indirect migration background,Never,0.35268,725,725,0.31788,0.38749
2003,No migration background,At least once per week,0.00875,230,18654,0.00741,0.01008
2003,No migration background,At least once per month,0.01764,423,18654,0.01575,0.01953
2003,No migration background,Seldom,0.08113,1839,18654,0.07721,0.08505
2003,No migration background,Never,0.73771,16162,18654,0.73140,0.74402
2003,Direct migration background,Seldom,0.04922,111,2564,0.04084,0.05759
2003,Direct migration background,Never,0.88190,2453,2564,0.86941,0.89440
2003,Indirect migration background,Seldom,0.02727,46,760,0.01568,0.03885
2003,Indirect migration background,Never,0.35572,714,760,0.32166,0.38977
2005,No migration background,At least once per week,0.00908,217,17365,0.00766,0.01049
2005,No migration background,At least once per month,0.01721,367,17365,0.01527,0.01914
2005,No migration background,Seldom,0.06286,1360,17365,0.05925,0.06647
2005,No migration background,Never,0.75764,15421,17365,0.75127,0.76401
2005,Direct migration background,Seldom,0.04667,101,2332,0.03810,0.05523
2005,Direct migration background,Never,0.90280,2231,2332,0.89077,0.91482
2005,Indirect migration background,Seldom,0.02141,36,808,0.01142,0.03139
2005,Indirect migration background,Never,0.42987,772,808,0.39572,0.46403
2007,No migration background,At least once per week,0.00823,186,17436,0.00689,0.00957
2007,No migration background,At least once per month,0.01186,291,17436,0.01026,0.01347
2007,No migration background,Seldom,0.04746,1077,17436,0.04431,0.05062
2007,No migration background,Never,0.77212,15882,17436,0.76589,0.77835
2007,Direct migration background,Seldom,0.03016,67,2065,0.02278,0.03754
2007,Direct migration background,Never,0.90682,1998,2065,0.89428,0.91936
2007,Indirect migration background,Never,0.44545,740,740,0.40962,0.48129
2008,No migration background,At least once per week,0.00733,180,16566,0.00603,0.00863
2008,No migration background,At least once per month,0.01448,360,16566,0.01266,0.01630
2008,No migration background,Seldom,0.06363,1339,16566,0.05991,0.06734
2008,No migration background,Never,0.76473,14687,16566,0.75827,0.77119
2008,Direct migration background,Seldom,0.05544,103,1860,0.04503,0.06584
2008,Direct migration background,Never,0.90142,1757,1860,0.88787,0.91497
2008,Indirect migration background,Seldom,0.03316,43,748,0.02032,0.04600
2008,Indirect migration background,Never,0.44915,705,748,0.41347,0.48482
2009,No migration background,At least once per week,0.00648,141,15520,0.00522,0.00774
2009,No migration background,At least once per month,0.01194,270,15520,0.01023,0.01364
2009,No migration background,Seldom,0.05389,1011,15520,0.05034,0.05744
2009,No migration background,Never,0.77388,14098,15520,0.76729,0.78046
2009,Direct migration background,Seldom,0.03730,63,1626,0.02808,0.04651
2009,Direct migration background,Never,0.91942,1563,1626,0.90619,0.93266
2009,Indirect migration background,Never,0.48830,663,663,0.45022,0.52638
2011,No migration background,At least once per week,0.00906,263,23712,0.00786,0.01027
2011,No migration background,At least once per month,0.01316,424,23712,0.01171,0.01461
2011,No migration background,Seldom,0.05512,1519,23712,0.05222,0.05803
2011,No migration background,Never,0.77034,21506,23712,0.76499,0.77570
2011,Direct migration background,Seldom,0.03667,105,3248,0.03020,0.04313
2011,Direct migration background,Never,0.91206,3143,3248,0.90232,0.92180
2011,Indirect migration background,Seldom,0.02733,59,1228,0.01821,0.03646
2011,Indirect migration background,Never,0.42417,1169,1228,0.39651,0.45182
2013,No migration background,At least once per week,0.00998,269,21477,0.00865,0.01131
2013,No migration background,At least once per month,0.01666,461,21477,0.01495,0.01837
2013,No migration background,Seldom,0.07650,1865,21477,0.07294,0.08005
2013,No migration background,Never,0.73649,18882,21477,0.73059,0.74238
2013,Direct migration background,Seldom,0.03528,170,2709,0.02833,0.04222
2013,Direct migration background,Never,0.50013,2539,2709,0.48130,0.51897
2013,Indirect migration background,Seldom,0.02645,98,1096,0.01695,0.03595
2013,Indirect migration background,Never,0.24249,998,1096,0.21710,0.26787
2015,No migration background,At least once per week,0.00937,210,19084,0.00800,0.01073
2015,No migration background,At least once per month,0.01369,361,19084,0.01204,0.01534
2015,No migration background,Seldom,0.05504,1308,19084,0.05181,0.05828
2015,No migration background,Never,0.77932,17205,19084,0.77344,0.78521
2015,Direct migration background,At least once per month,0.00832,46,5946,0.00601,0.01063
2015,Direct migration background,Seldom,0.03418,218,5946,0.02956,0.03880
2015,Direct migration background,Never,0.90772,5682,5946,0.90036,0.91508
2015,Indirect migration background,Seldom,0.02550,74,1590,0.01775,0.03325
2015,Indirect migration background,Never,0.45908,1516,1590,0.43458,0.48359
2017,No migration background,At least once per week,0.01043,240,20066,0.00902,0.01183
2017,No migration background,At least once per month,0.01539,378,20066,0.01369,0.01710
2017,No migration background,Seldom,0.05554,1312,20066,0.05237,0.05871
2017,No migration background,Never,0.77340,18136,20066,0.76761,0.77919
2017,Direct migration background,At least once per week,0.00851,31,4733,0.00589,0.01113
2017,Direct migration background,At least once per month,0.00741,32,4733,0.00496,0.00985
2017,Direct migration background,Seldom,0.03173,161,4733,0.02674,0.03673
2017,Direct migration background,Never,0.84833,4509,4733,0.83811,0.85855
2017,Indirect migration background,Seldom,0.02294,74,1601,0.01561,0.03028
2017,Indirect migration background,Never,0.47156,1527,1601,0.44710,0.49602
2019,No migration background,At least once per week,0.01276,391,20045,0.01120,0.01431
2019,No migration background,At least once per month,0.01782,565,20045,0.01599,0.01965
2019,No migration background,Seldom,0.08490,2121,20045,0.08104,0.08876
2019,No migration background,Never,0.73741,16968,20045,0.73132,0.74350
2019,Direct migration background,At least once per week,0.00747,38,3944,0.00479,0.01016
2019,Direct migration background,At least once per month,0.01188,41,3944,0.00850,0.01527
2019,Direct migration background,Seldom,0.06604,297,3944,0.05829,0.07380
2019,Direct migration background,Never,0.81245,3568,3944,0.80026,0.82463
2019,Indirect migration background,Seldom,0.05202,151,1519,0.04085,0.06319
2019,Indirect migration background,Never,0.44663,1368,1519,0.42162,0.47164
